model,MAE,RMSE,R2
LinearRegression,3.137114639993686,4.036932793755142,0.9192333675074049
RandomForest,0.09159569036789393,0.1442942699959026,0.9998968124959658
XGBoost,0.08582632734977826,0.13849096916049783,0.9999049456829626
